Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
540426,5.04,18.83,1005.27,40.03,66.67,Warning
542446,5.84,18.83,1005.27,40.03,66.65,Warning
544466,6.18,18.83,1005.27,40.15,66.68,Warning
546494,7.05,18.83,1005.27,40.28,66.69,Warning
548514,7.78,18.83,1005.26,40.42,66.70,Warning
550534,7.05,18.83,1005.26,40.43,66.70,Warning
552554,6.69,18.83,1005.26,40.38,66.70,Warning
554574,6.52,18.83,1005.26,40.34,66.71,Warning
556594,6.69,18.83,1005.27,40.32,66.67,Warning
558614,6.18,18.83,1005.27,40.38,66.68,Warning
560634,6.35,18.83,1005.27,40.38,66.64,Warning
562654,6.69,18.83,1005.27,40.38,66.64,Warning
564674,6.69,18.82,1005.27,40.41,66.62,Warning
566694,7.05,18.82,1005.27,40.44,66.61,Warning
568716,7.41,18.82,1005.27,40.45,66.65,Warning
570736,7.41,18.82,1005.27,40.61,66.64,Warning
572756,7.59,18.81,1005.27,40.64,66.65,Warning
574776,7.59,18.81,1005.27,40.65,66.67,Warning
576796,6.87,18.81,1005.27,40.71,66.63,Warning
578816,6.87,18.81,1005.27,40.70,66.62,Warning
580836,7.41,18.81,1005.27,40.65,66.62,Warning
582856,7.05,18.79,1005.26,40.51,66.76,Warning
584876,6.69,18.80,1005.27,40.49,66.66,Warning
586896,6.52,18.79,1005.27,40.51,66.66,Warning
588918,6.35,18.79,1005.27,40.51,66.61,Warning
590938,6.35,18.80,1005.28,40.51,66.56,Warning
592958,6.35,18.79,1005.28,40.54,66.60,Warning
594978,6.52,18.79,1005.28,40.58,66.60,Warning
596998,6.69,18.79,1005.27,40.61,66.63,Warning
599018,6.87,18.79,1005.27,40.87,66.61,Warning
601038,6.52,18.79,1005.28,41.02,66.60,Warning
603058,6.18,18.79,1005.27,41.05,66.65,Warning
605078,5.84,18.79,1005.27,41.01,66.64,Warning
607098,5.35,18.79,1005.27,41.02,66.64,Warning
609118,5.04,18.79,1005.27,41.06,66.66,Warning
611140,5.04,18.79,1005.27,41.12,66.62,Warning
613160,4.73,18.79,1005.27,41.12,66.63,Safe
615180,5.20,18.79,1005.27,41.05,66.63,Warning
617200,5.68,18.79,1005.27,41.03,66.66,Warning
619220,5.68,18.79,1005.27,41.01,66.69,Warning
621240,5.68,18.79,1005.27,41.05,66.64,Warning
623260,6.69,18.79,1005.27,41.01,66.63,Warning
625280,7.23,18.79,1005.28,41.02,66.60,Warning
627300,7.41,18.79,1005.28,41.00,66.59,Warning
629320,7.41,18.79,1005.28,40.99,66.61,Warning
631340,7.41,18.79,1005.28,40.99,66.58,Warning
633362,7.41,18.79,1005.28,41.00,66.58,Warning
635382,7.23,18.79,1005.28,40.99,66.54,Warning
637402,6.18,18.79,1005.29,41.00,66.52,Warning
639422,6.35,18.79,1005.28,41.01,66.54,Warning
641442,6.69,18.79,1005.28,40.96,66.53,Warning
643462,6.87,18.79,1005.29,40.91,66.49,Warning
645482,7.05,18.78,1005.27,40.94,66.64,Warning
647502,7.05,18.78,1005.28,40.97,66.59,Warning
649522,7.05,18.78,1005.28,41.00,66.58,Warning
651542,7.23,18.78,1005.28,40.96,66.56,Warning
653562,7.23,18.79,1005.29,40.95,66.51,Warning
655584,7.23,18.79,1005.29,41.01,66.50,Warning
657604,7.05,18.79,1005.29,41.06,66.50,Warning
659624,6.87,18.79,1005.29,41.08,66.50,Warning
661644,6.69,18.79,1005.29,41.08,66.51,Warning
663664,6.52,18.79,1005.29,41.08,66.48,Warning
665684,6.69,18.78,1005.29,41.08,66.50,Warning
667704,6.18,18.78,1005.29,41.09,66.46,Warning
669724,6.01,18.78,1005.29,41.14,66.50,Warning
671744,6.01,18.78,1005.29,41.12,66.47,Warning
673764,6.18,18.78,1005.29,41.05,66.48,Warning
675784,6.01,18.78,1005.30,40.99,66.44,Warning
677806,5.35,18.78,1005.30,40.89,66.41,Warning
679826,5.68,18.78,1005.30,40.79,66.41,Warning
681846,6.52,18.78,1005.30,40.71,66.43,Warning
683866,6.35,18.78,1005.30,40.72,66.38,Warning
685886,6.01,18.78,1005.30,40.75,66.38,Warning
687906,6.35,18.78,1005.30,40.79,66.37,Warning
689926,7.05,18.79,1005.31,40.89,66.35,Warning
691946,6.87,18.79,1005.31,40.91,66.34,Warning
693966,6.52,18.79,1005.30,40.88,66.39,Warning
695998,7.41,18.79,1005.30,40.57,66.39,Warning
698018,7.97,18.79,1005.30,40.55,66.37,Warning
700040,7.41,18.79,1005.31,40.49,66.34,Warning
702060,7.41,18.78,1005.30,40.54,66.42,Warning
704080,7.59,18.78,1005.30,40.57,66.41,Warning
706100,7.78,18.78,1005.30,40.58,66.39,Warning
708120,7.78,18.78,1005.30,40.68,66.44,Warning
710140,7.23,18.78,1005.29,40.77,66.48,Warning
712160,7.05,18.77,1005.29,40.81,66.47,Warning
714180,7.23,18.77,1005.29,40.94,66.45,Warning
716200,7.97,18.77,1005.29,41.01,66.45,Warning
718220,8.35,18.77,1005.30,40.97,66.42,Warning
720240,8.15,18.77,1005.30,40.90,66.40,Warning
722268,8.15,18.77,1005.30,41.02,66.37,Warning
724288,8.15,18.77,1005.30,41.09,66.37,Warning
726308,8.35,18.76,1005.30,41.03,66.38,Warning
728328,7.78,18.76,1005.30,41.00,66.37,Warning
730348,7.05,18.76,1005.30,40.85,66.37,Warning
732368,6.35,18.76,1005.30,40.78,66.37,Warning
734388,6.18,18.76,1005.31,40.71,66.35,Warning
736408,6.69,18.76,1005.31,40.80,66.34,Warning
738428,7.23,18.75,1005.31,40.81,66.35,Warning
740448,7.41,18.75,1005.31,40.91,66.32,Warning
742468,7.78,18.73,1005.28,40.94,66.53,Warning
744490,8.93,18.74,1005.29,40.90,66.48,Warning
746510,9.13,18.74,1005.29,40.76,66.47,Warning
748530,7.59,18.74,1005.30,40.74,66.44,Warning
750550,8.54,18.73,1005.28,40.74,66.53,Warning
752570,8.93,18.73,1005.29,40.71,66.49,Warning
